,deterministic,surrogate_0
158,199368.18081593738,196500.45684664714
159,219899.9320224094,217562.60982304515
160,201406.1720474969,198654.98995618615
161,208984.97851733147,206315.45658108089
162,202633.33006894193,199923.7804031454
163,202794.14461189095,200033.51836147025
164,238044.7781617132,246620.58906292438
165,209137.79120013973,206591.2786724946
166,215848.14131141108,213597.43848374486
167,207906.4876724669,206003.06862384794
168,225940.89076878352,239779.5206325003
169,208000.85981331038,205640.4044234541
170,207540.4212387777,204823.98105680206
171,215289.35150946374,213435.12697412356
172,206948.38222788306,205210.7171185709
173,218369.34774602123,217039.97607275206
174,205849.2420156601,203790.75716257634
175,206289.5561888699,204384.98569774273
176,197801.81268383889,195030.08981996705
177,196772.7223054263,192545.14470923587
178,301087.66882772336,324837.9932403348
179,204671.48704980445,201995.291402496
180,254458.13041993216,276935.0946433762
181,224045.60024903953,231073.9169080515
182,199703.6861627108,197188.1875090298
183,207125.3324605891,204938.5947464037
184,232795.90873502742,246862.40491595812
185,227149.6462448369,237656.6387496997
186,209519.9390129727,207339.1159759433
187,217191.0289118889,214871.53376155274
188,200140.03600343515,196795.8028324879
189,217003.75685326933,214953.57872186622
190,209239.08895605282,207318.38570963085
191,212620.99893872277,211038.53329467296
192,199321.92340418286,195761.84391827421
193,183134.69834887853,178888.74910175888
194,212319.564363454,210085.56620079337
195,209552.89298399916,207706.74727140646
196,220151.03661241956,218626.04169000132
197,217555.49141100742,215880.44703873486
198,207786.67834131038,205208.14269415298
199,205435.4858069565,203353.857652517

