,Unnamed: 0,deterministic,surrogate_1,surrogate_0,surrogate_2
111,111,206893.13999513283,206396.764195036,204010.2461890589,206187.4762153331
112,112,209758.42462682052,209846.42013402272,206106.1538565581,208164.4997902398
113,113,192879.837344001,192296.41922190072,190173.81563466848,192387.05396806385
114,114,200767.8091932969,200045.0803856354,198384.4135239405,200650.15200227508
115,115,200558.56357747436,199635.95128891908,198440.93927085155,200734.9972237281
116,116,215153.6185848725,214186.4360436218,212897.66580033617,215156.1102339834
117,117,219836.12163443796,218332.27164970455,218278.31902977545,220619.99597089423
118,118,196310.25400496408,196499.0158038004,192559.19223251284,194629.6966272816
119,119,215173.33523616253,214515.19047534783,212575.07758142083,214784.8811254697
120,120,198859.62401104957,198579.5695208623,195707.863958266,197855.22148328123
121,121,201356.94424160564,200695.48078158376,198779.9673678271,201005.73830398
122,122,221431.80312195484,220128.923767932,219599.3866611611,221909.42649965791
123,123,214042.1428163796,213529.4886682725,211231.78056605044,213417.5983664665
124,124,205446.31725546243,205259.15745813312,202216.56117574355,204352.28413040668
125,125,206278.9859701829,205189.30780590556,204179.36868518396,206459.9298321508
126,126,200457.2245695695,200597.3999049722,196776.88754577324,198852.9961527706
127,127,277662.25756964344,283370.4041399753,299284.4357912267,282435.28933792224
128,128,208244.05147207231,207797.26341636543,205432.95799002764,207622.0225718477
129,129,259632.6510053292,264545.8954796063,270207.19117612473,260265.2757312413
130,130,218891.72346632712,217459.27543706665,217227.4228105312,219553.9792610887
131,131,218778.34914477947,217475.7352356031,222363.23152234397,219489.7377108757
132,132,249603.8828089001,252273.30201953225,263167.9948621247,252604.43765691316
133,133,215502.807588668,214879.8066152035,212797.6091377855,214984.0970104967
134,134,199305.82904485363,198545.1632833321,196862.72833096655,199108.4771117781
135,135,201847.03958056183,201948.44630218003,198322.24080089648,200425.6325749948
136,136,210306.42367764688,209384.6942035619,208200.7114404241,210495.92571300792
137,137,203673.50903359387,202928.0533415706,201254.9139508356,203501.30865728308
138,138,199468.71688684207,198900.83188186295,196905.939093825,199144.89587911856
139,139,224661.30762325384,223305.93397448785,223703.35191612068,225322.72461092344
140,140,209942.99236886075,208315.86376116367,208514.48984627987,210890.2097047235
141,141,200188.07209035425,199980.9709962934,197017.6844947372,199163.5248314124
142,142,207017.95197200275,206559.69353900943,204135.05539616483,206310.1557446909
143,143,215503.0575864348,214753.79774910465,213015.74329008383,215242.53569195964
144,144,202108.24304229696,202056.22200786392,198688.74906115668,200790.67440938743
145,145,211821.44760425852,210572.78908028192,209938.13135758365,212241.72626975205
146,146,202343.79295242147,201726.51509767844,199611.6529520217,201812.062836482
147,147,206265.28299441963,205396.16554844016,203859.58944535672,206106.2302171969
148,148,215680.51666359435,213808.6791724302,214583.77822851395,217002.7110502318
149,149,216967.01107435024,215809.1429249496,214961.89728551012,217252.80201081984
150,150,266707.4416192889,276859.5778285216,282105.2291311781,265056.20977323595
151,151,209118.4807834836,208411.0393183824,206512.1557743103,208725.34358988944
152,152,204433.022107518,204365.505814524,200969.32300855216,203069.4370716596
153,153,208754.620423636,207826.6195198428,206802.79607574327,208951.8847117752
154,154,209273.74573477785,208604.28739922697,206619.07935264707,208819.4075391743
155,155,203346.4864516519,203066.1454634125,200179.28015113468,202331.10117909583
156,156,203152.4257937852,203075.44148831343,199762.6296908998,201875.111615626
157,157,241909.61999589595,245964.84947809344,255820.4222924469,244004.69555013435
