,deterministic,surrogate_2,surrogate_1,surrogate_0
183,172994.82647358422,173047.11103682785,172486.139803357,177050.02077323775
184,186989.76701128157,187124.29572532218,186586.60478773597,189717.53564317533
185,211053.9243035555,212922.09136003736,217602.31759895067,218818.36500858606
186,201626.13137258106,202363.0100718537,203535.57272069404,204904.8171406315
187,199234.71220696846,199949.98088362408,199665.15071181738,196591.0270327279
188,186736.97349804774,187169.0255441861,186758.753030057,186675.47548797293
189,190941.4519722195,191706.78016809293,191451.28504072968,188679.97928844066
190,188230.765466462,188980.5103655877,188718.0799234236,186537.55445992117
191,204408.70939127076,204968.15125637728,204614.97645011696,207045.6731598932
192,189952.37951587563,190373.37090101818,189960.54829111794,189955.84239428217
193,193356.45677510888,193870.9873737928,193483.5386811196,192547.1767965924
194,201741.96114094608,202458.98123658725,202178.97258724962,199540.42829658638
195,386725.6608968064,385344.6267821877,378514.12752961786,389710.1698513824
196,191078.38979223423,191692.8183582549,191366.13508323763,189450.31501880154
197,197486.89578926994,198226.27637109882,197948.81596188998,194591.67620737333
198,199682.671603374,200437.67426254787,200170.71123988993,196702.50024729886
199,198203.97650369775,198950.70051210077,198678.6429460168,195349.1615500082
